RGI_ID,zmed,zmax,zmin,area,slope,lat,icecap,ID
RGI60-08.02000,1444.0,1520.0,1293.0,0.49,13.8,61.455,0,RGI60-08.02000
RGI60-08.02001,1300.0,1505.0,1117.0,0.645,23.9,61.352,0,RGI60-08.02001
RGI60-08.02002,1488.0,1538.0,1292.0,0.331,12.1,61.449,0,RGI60-08.02002
RGI60-08.02003,1501.0,1559.0,1375.0,0.589,9.5,61.463,0,RGI60-08.02003
RGI60-08.02004,1082.0,1176.0,996.0,0.148,23.6,61.435,0,RGI60-08.02004
RGI60-08.02005,1582.0,1609.0,1551.0,0.091,7.7,61.412,0,RGI60-08.02005
RGI60-08.02006,1383.0,1497.0,1149.0,0.687,14.6,61.47,0,RGI60-08.02006
RGI60-08.02007,1252.0,1339.0,1157.0,1.253,5.8,61.43,0,RGI60-08.02007
RGI60-08.02008,1429.0,1469.0,1403.0,0.217,8.8,61.406,0,RGI60-08.02008
RGI60-08.02009,1392.0,1539.0,1149.0,1.362,17.5,61.453,0,RGI60-08.02009
RGI60-08.02010,1383.0,1487.0,1156.0,0.722,17.2,61.471,0,RGI60-08.02010
RGI60-08.02011,1324.0,1414.0,1251.0,0.593,9.8,61.471,0,RGI60-08.02011
RGI60-08.02012,1335.0,1522.0,1098.0,1.677,10.0,61.427,0,RGI60-08.02012
RGI60-08.02013,1373.0,1402.0,1336.0,0.067,11.8,61.357,0,RGI60-08.02013
RGI60-08.02014,1411.0,1521.0,1063.0,1.267,11.7,61.423,0,RGI60-08.02014
RGI60-08.02015,1303.0,1364.0,1189.0,0.098,24.7,61.398,0,RGI60-08.02015
RGI60-08.02016,1334.0,1559.0,1118.0,2.357,9.3,61.475,0,RGI60-08.02016
RGI60-08.02017,1384.0,1609.0,1029.0,1.949,15.0,61.416,0,RGI60-08.02017
RGI60-08.02018,1394.0,1563.0,1270.0,0.201,23.9,61.405,0,RGI60-08.02018
RGI60-08.02019,1403.0,1555.0,1125.0,0.674,17.1,61.463,0,RGI60-08.02019
RGI60-08.02020,1288.0,1371.0,1211.0,0.381,8.1,61.379,0,RGI60-08.02020
RGI60-08.02021,1321.0,1447.0,1179.0,1.006,8.3,61.478,0,RGI60-08.02021
RGI60-08.02022,1225.0,1304.0,1137.0,0.051,35.5,61.322,0,RGI60-08.02022
RGI60-08.02023,1436.0,1504.0,1264.0,1.115,5.7,61.43,0,RGI60-08.02023
RGI60-08.02024,1448.0,1539.0,1300.0,0.775,14.5,61.448,0,RGI60-08.02024
RGI60-08.02025,1418.0,1505.0,1313.0,0.205,23.9,61.446,0,RGI60-08.02025
RGI60-08.02026,1326.0,1354.0,1301.0,0.048,15.1,61.386,0,RGI60-08.02026
RGI60-08.02027,1470.0,1611.0,1171.0,1.526,17.0,61.419,0,RGI60-08.02027
RGI60-08.02028,1364.0,1471.0,1266.0,0.164,20.9,61.385,0,RGI60-08.02028
RGI60-08.02029,1379.0,1480.0,1176.0,1.262,11.9,61.436,0,RGI60-08.02029
RGI60-08.02030,1545.0,1559.0,1496.0,0.175,6.9,61.459,0,RGI60-08.02030
RGI60-08.02031,1515.0,1626.0,1064.0,6.616,9.4,61.49,0,RGI60-08.02031
RGI60-08.02032,1350.0,1424.0,1272.0,0.097,20.7,61.491,0,RGI60-08.02032
RGI60-08.02033,1738.0,1760.0,1717.0,0.065,12.4,62.34,0,RGI60-08.02033
RGI60-08.02034,1684.0,1722.0,1607.0,0.066,25.4,62.358,0,RGI60-08.02034
RGI60-08.02035,1556.0,1826.0,1482.0,0.392,19.0,62.397,0,RGI60-08.02035
RGI60-08.02036,1630.0,1676.0,1602.0,0.078,15.4,62.33,0,RGI60-08.02036
